Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
212.07	0.014825	1477.3	0.00067690	122.04	122.05	0.67844	0.81175	1.2215	908.21	-0.33351	674.31	0.12128	0.020546	0.86763	1.1526	343.54	360.63	1.8034	0.60150	0.68955	139.15	85.972	8.4785	0.0064688
212.25	0.015000	1476.8	0.00067713	122.26	122.27	0.67947	0.81191	1.2218	907.34	-0.33323	671.99	0.12119	0.020518	0.87722	1.1400	343.64	360.74	1.8030	0.60192	0.69002	139.19	85.624	8.4853	0.0064832
212.43	0.015175	1476.3	0.00067735	122.47	122.48	0.68048	0.81207	1.2220	906.48	-0.33295	669.70	0.12109	0.020490	0.88680	1.1277	343.74	360.85	1.8026	0.60234	0.69048	139.23	85.281	8.4920	0.0064974
212.60	0.015350	1475.8	0.00067758	122.69	122.70	0.68149	0.81224	1.2223	905.63	-0.33266	667.45	0.12100	0.020463	0.89637	1.1156	343.84	360.97	1.8022	0.60275	0.69094	139.28	84.944	8.4987	0.0065115
212.78	0.015525	1475.4	0.00067780	122.90	122.91	0.68248	0.81240	1.2225	904.79	-0.33239	665.23	0.12091	0.020435	0.90594	1.1038	343.94	361.07	1.8018	0.60316	0.69140	139.32	84.613	8.5053	0.0065255
212.95	0.015700	1474.9	0.00067802	123.11	123.12	0.68347	0.81255	1.2227	903.95	-0.33211	663.05	0.12082	0.020408	0.91549	1.0923	344.03	361.18	1.8014	0.60357	0.69186	139.36	84.287	8.5118	0.0065393
213.12	0.015875	1474.4	0.00067823	123.32	123.33	0.68445	0.81271	1.2230	903.13	-0.33183	660.89	0.12073	0.020382	0.92504	1.0810	344.13	361.29	1.8010	0.60397	0.69231	139.40	83.966	8.5183	0.0065530
213.29	0.016050	1473.9	0.00067845	123.52	123.53	0.68541	0.81287	1.2232	902.31	-0.33156	658.77	0.12064	0.020355	0.93459	1.0700	344.22	361.40	1.8006	0.60437	0.69275	139.44	83.650	8.5247	0.0065666
213.46	0.016225	1473.5	0.00067866	123.73	123.74	0.68637	0.81302	1.2235	901.49	-0.33129	656.67	0.12056	0.020329	0.94413	1.0592	344.32	361.50	1.8003	0.60476	0.69320	139.48	83.339	8.5310	0.0065800
213.62	0.016400	1473.0	0.00067887	123.93	123.94	0.68732	0.81318	1.2237	900.69	-0.33102	654.60	0.12047	0.020303	0.95366	1.0486	344.41	361.61	1.7999	0.60516	0.69363	139.52	83.033	8.5373	0.0065934
