Temperature,Pressure,Density,Volume,Internal Energy,Enthalpy,Entropy,Cv,Cp
361.44,3.1325,855.89,0.0011684,335.49,339.15,1.429,1.0461,2.5639
361.55,3.1393,854.83,0.0011698,335.7,339.38,1.4296,1.0466,2.5742
361.65,3.146,853.75,0.0011713,335.92,339.6,1.4302,1.0472,2.5847
361.76,3.1528,852.68,0.0011728,336.13,339.83,1.4308,1.0477,2.5953
361.86,3.1596,851.6,0.0011743,336.35,340.06,1.4314,1.0483,2.6061
361.97,3.1663,850.52,0.0011757,336.57,340.29,1.432,1.0489,2.6171
362.07,3.1731,849.44,0.0011772,336.78,340.52,1.4326,1.0494,2.6282
362.17,3.1799,848.35,0.0011788,337,340.75,1.4332,1.05,2.6394
362.28,3.1866,847.26,0.0011803,337.21,340.97,1.4338,1.0506,2.6509
362.38,3.1934,846.17,0.0011818,337.43,341.2,1.4344,1.0511,2.6625
362.48,3.2001,845.07,0.0011833,337.65,341.43,1.4351,1.0517,2.6743
362.59,3.2069,843.97,0.0011849,337.86,341.66,1.4357,1.0523,2.6863
362.69,3.2137,842.86,0.0011864,338.08,341.89,1.4363,1.0529,2.6985
362.79,3.2204,841.75,0.001188,338.29,342.12,1.4369,1.0535,2.7109
362.89,3.2272,840.64,0.0011896,338.51,342.35,1.4375,1.0541,2.7235
363,3.234,839.52,0.0011912,338.73,342.58,1.4381,1.0547,2.7362
363.1,3.2407,838.4,0.0011928,338.95,342.81,1.4387,1.0553,2.7492
363.2,3.2475,837.27,0.0011944,339.16,343.04,1.4393,1.0559,2.7624
363.3,3.2543,836.14,0.001196,339.38,343.27,1.4399,1.0565,2.7759
363.4,3.261,835.01,0.0011976,339.6,343.5,1.4406,1.0571,2.7895
363.5,3.2678,833.87,0.0011992,339.82,343.73,1.4412,1.0577,2.8034
363.61,3.2746,832.73,0.0012009,340.03,343.97,1.4418,1.0584,2.8175
363.71,3.2813,831.58,0.0012025,340.25,344.2,1.4424,1.059,2.8319
363.81,3.2881,830.43,0.0012042,340.47,344.43,1.443,1.0596,2.8465
363.91,3.2949,829.28,0.0012059,340.69,344.66,1.4436,1.0603,2.8613
364.01,3.3016,828.12,0.0012076,340.91,344.89,1.4443,1.0609,2.8765
364.11,3.3084,826.95,0.0012093,341.13,345.13,1.4449,1.0616,2.8919
364.21,3.3152,825.78,0.001211,341.34,345.36,1.4455,1.0622,2.9076
364.31,3.3219,824.61,0.0012127,341.56,345.59,1.4461,1.0629,2.9235
364.41,3.3287,823.43,0.0012144,341.78,345.83,1.4467,1.0635,2.9398
364.51,3.3354,822.24,0.0012162,342,346.06,1.4473,1.0642,2.9564
364.61,3.3422,821.05,0.0012179,342.22,346.29,1.448,1.0649,2.9732
364.71,3.349,819.86,0.0012197,342.44,346.53,1.4486,1.0655,2.9905
364.81,3.3557,818.66,0.0012215,342.66,346.76,1.4492,1.0662,3.008
364.9,3.3625,817.45,0.0012233,342.89,347,1.4498,1.0669,3.0259
365,3.3693,816.24,0.0012251,343.11,347.23,1.4504,1.0676,3.0441
365.1,3.376,815.03,0.001227,343.33,347.47,1.4511,1.0683,3.0627
365.2,3.3828,813.81,0.0012288,343.55,347.71,1.4517,1.069,3.0816
365.3,3.3896,812.58,0.0012307,343.77,347.94,1.4523,1.0697,3.101
365.4,3.3963,811.34,0.0012325,343.99,348.18,1.4529,1.0704,3.1207
365.49,3.4031,810.1,0.0012344,344.22,348.42,1.4536,1.0711,3.1409
365.59,3.4099,808.86,0.0012363,344.44,348.66,1.4542,1.0719,3.1615
365.69,3.4166,807.61,0.0012382,344.66,348.89,1.4548,1.0726,3.1825
365.79,3.4234,806.35,0.0012402,344.89,349.13,1.4555,1.0733,3.2039
365.88,3.4302,805.09,0.0012421,345.11,349.37,1.4561,1.0741,3.2259
365.98,3.4369,803.81,0.0012441,345.34,349.61,1.4567,1.0748,3.2483
366.08,3.4437,802.54,0.001246,345.56,349.85,1.4574,1.0756,3.2712
366.17,3.4504,801.25,0.001248,345.79,350.09,1.458,1.0763,3.2946
366.27,3.4572,799.96,0.0012501,346.01,350.34,1.4586,1.0771,3.3185
366.37,3.464,798.66,0.0012521,346.24,350.58,1.4593,1.0779,3.343
366.46,3.4707,797.36,0.0012541,346.47,350.82,1.4599,1.0787,3.3681
366.56,3.4775,796.04,0.0012562,346.69,351.06,1.4605,1.0795,3.3938
366.66,3.4843,794.72,0.0012583,346.92,351.31,1.4612,1.0802,3.4201
366.75,3.491,793.39,0.0012604,347.15,351.55,1.4618,1.0811,3.447
366.85,3.4978,792.06,0.0012625,347.38,351.79,1.4625,1.0819,3.4745
366.94,3.5046,790.71,0.0012647,347.61,352.04,1.4631,1.0827,3.5028
367.04,3.5113,789.36,0.0012668,347.84,352.29,1.4638,1.0835,3.5317
367.13,3.5181,788,0.001269,348.07,352.53,1.4644,1.0843,3.5614
367.23,3.5249,786.63,0.0012712,348.3,352.78,1.4651,1.0852,3.5919
367.32,3.5316,785.25,0.0012735,348.53,353.03,1.4657,1.086,3.6232
367.42,3.5384,783.87,0.0012757,348.76,353.28,1.4664,1.0869,3.6552
367.51,3.5452,782.47,0.001278,349,353.53,1.467,1.0877,3.6882
367.61,3.5519,781.07,0.0012803,349.23,353.78,1.4677,1.0886,3.722
367.7,3.5587,779.65,0.0012826,349.46,354.03,1.4683,1.0895,3.7568
367.79,3.5654,778.23,0.001285,349.7,354.28,1.469,1.0903,3.7926
367.89,3.5722,776.79,0.0012873,349.93,354.53,1.4697,1.0912,3.8293
367.98,3.579,775.35,0.0012897,350.17,354.78,1.4703,1.0921,3.8671
368.07,3.5857,773.89,0.0012922,350.41,355.04,1.471,1.0931,3.9061
368.17,3.5925,772.43,0.0012946,350.64,355.29,1.4717,1.094,3.9462
368.26,3.5993,770.95,0.0012971,350.88,355.55,1.4723,1.0949,3.9875
368.35,3.606,769.46,0.0012996,351.12,355.81,1.473,1.0958,4.03
368.45,3.6128,767.96,0.0013022,351.36,356.07,1.4737,1.0968,4.0739
368.54,3.6196,766.45,0.0013047,351.6,356.33,1.4744,1.0977,4.1192
368.63,3.6263,764.92,0.0013073,351.84,356.59,1.4751,1.0987,4.1659
368.72,3.6331,763.39,0.00131,352.09,356.85,1.4757,1.0997,4.2142
368.82,3.6399,761.84,0.0013126,352.33,357.11,1.4764,1.1007,4.264
