Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
339.99	0.88698	36.393	0.027478	426.14	450.51	1.8157	0.86948	1.0226	157.73	15.286	13.494	0.017144	vapor
340.24	0.88698	36.352	0.027509	426.36	450.76	1.8165	0.86970	1.0225	157.83	15.243	13.504	0.017162	vapor
340.48	0.88698	36.312	0.027539	426.58	451.01	1.8172	0.86992	1.0225	157.94	15.201	13.515	0.017180	vapor
340.72	0.88698	36.271	0.027570	426.80	451.25	1.8179	0.87014	1.0224	158.04	15.158	13.525	0.017199	vapor
340.97	0.88698	36.231	0.027601	427.02	451.50	1.8187	0.87037	1.0223	158.14	15.116	13.535	0.017217	vapor
341.21	0.88698	36.191	0.027631	427.24	451.75	1.8194	0.87059	1.0222	158.24	15.074	13.545	0.017235	vapor
341.45	0.88698	36.151	0.027662	427.46	452.00	1.8201	0.87082	1.0222	158.34	15.033	13.555	0.017254	vapor
341.70	0.88698	36.111	0.027693	427.69	452.25	1.8209	0.87104	1.0221	158.44	14.991	13.565	0.017272	vapor
341.94	0.88698	36.071	0.027723	427.91	452.50	1.8216	0.87127	1.0221	158.55	14.950	13.575	0.017291	vapor
342.18	0.88698	36.031	0.027754	428.13	452.75	1.8223	0.87150	1.0220	158.65	14.909	13.585	0.017309	vapor
342.42	0.88698	35.991	0.027784	428.35	452.99	1.8230	0.87173	1.0219	158.75	14.868	13.595	0.017327	vapor
342.67	0.88698	35.952	0.027815	428.57	453.24	1.8238	0.87196	1.0219	158.85	14.827	13.605	0.017346	vapor
342.91	0.88698	35.913	0.027845	428.79	453.49	1.8245	0.87219	1.0218	158.95	14.787	13.615	0.017364	vapor
343.15	0.88698	35.873	0.027876	429.01	453.74	1.8252	0.87243	1.0218	159.05	14.746	13.625	0.017383	vapor
343.40	0.88698	35.834	0.027906	429.24	453.99	1.8259	0.87266	1.0218	159.15	14.706	13.636	0.017401	vapor
343.64	0.88698	35.795	0.027937	429.46	454.24	1.8266	0.87290	1.0217	159.25	14.666	13.646	0.017419	vapor
343.88	0.88698	35.757	0.027967	429.68	454.48	1.8274	0.87313	1.0217	159.35	14.626	13.656	0.017438	vapor
344.13	0.88698	35.718	0.027997	429.90	454.73	1.8281	0.87337	1.0217	159.45	14.587	13.666	0.017456	vapor
344.37	0.88698	35.679	0.028028	430.12	454.98	1.8288	0.87361	1.0216	159.55	14.547	13.676	0.017475	vapor
344.61	0.88698	35.641	0.028058	430.34	455.23	1.8295	0.87385	1.0216	159.65	14.508	13.686	0.017493	vapor
344.86	0.88698	35.602	0.028088	430.56	455.48	1.8303	0.87409	1.0216	159.74	14.469	13.696	0.017512	vapor
345.10	0.88698	35.564	0.028118	430.79	455.73	1.8310	0.87434	1.0216	159.84	14.430	13.706	0.017530	vapor
345.34	0.88698	35.526	0.028148	431.01	455.97	1.8317	0.87458	1.0215	159.94	14.391	13.716	0.017548	vapor
345.58	0.88698	35.488	0.028179	431.23	456.22	1.8324	0.87482	1.0215	160.04	14.353	13.726	0.017567	vapor
345.83	0.88698	35.450	0.028209	431.45	456.47	1.8331	0.87507	1.0215	160.14	14.314	13.736	0.017585	vapor
346.07	0.88698	35.412	0.028239	431.67	456.72	1.8339	0.87532	1.0215	160.24	14.276	13.746	0.017604	vapor
346.31	0.88698	35.375	0.028269	431.89	456.97	1.8346	0.87556	1.0215	160.33	14.238	13.756	0.017622	vapor
346.56	0.88698	35.337	0.028299	432.12	457.22	1.8353	0.87581	1.0215	160.43	14.200	13.766	0.017641	vapor
346.80	0.88698	35.300	0.028329	432.34	457.46	1.8360	0.87606	1.0215	160.53	14.162	13.776	0.017659	vapor
347.04	0.88698	35.262	0.028359	432.56	457.71	1.8367	0.87631	1.0215	160.63	14.125	13.786	0.017678	vapor
347.29	0.88698	35.225	0.028389	432.78	457.96	1.8374	0.87656	1.0215	160.72	14.087	13.796	0.017696	vapor
347.53	0.88698	35.188	0.028419	433.00	458.21	1.8381	0.87682	1.0215	160.82	14.050	13.806	0.017715	vapor
347.77	0.88698	35.151	0.028449	433.22	458.46	1.8389	0.87707	1.0215	160.92	14.013	13.816	0.017733	vapor
348.02	0.88698	35.114	0.028479	433.45	458.71	1.8396	0.87732	1.0215	161.01	13.976	13.826	0.017752	vapor
348.26	0.88698	35.077	0.028508	433.67	458.95	1.8403	0.87758	1.0215	161.11	13.939	13.836	0.017770	vapor
348.50	0.88698	35.041	0.028538	433.89	459.20	1.8410	0.87783	1.0216	161.21	13.902	13.846	0.017789	vapor
348.74	0.88698	35.004	0.028568	434.11	459.45	1.8417	0.87809	1.0216	161.30	13.866	13.856	0.017808	vapor
348.99	0.88698	34.968	0.028598	434.33	459.70	1.8424	0.87835	1.0216	161.40	13.830	13.866	0.017826	vapor
349.23	0.88698	34.931	0.028627	434.56	459.95	1.8431	0.87861	1.0216	161.49	13.793	13.876	0.017845	vapor
349.47	0.88698	34.895	0.028657	434.78	460.20	1.8438	0.87886	1.0216	161.59	13.757	13.886	0.017863	vapor
349.72	0.88698	34.859	0.028687	435.00	460.44	1.8446	0.87912	1.0217	161.69	13.721	13.896	0.017882	vapor
349.96	0.88698	34.823	0.028717	435.22	460.69	1.8453	0.87938	1.0217	161.78	13.686	13.906	0.017900	vapor
350.20	0.88698	34.787	0.028746	435.44	460.94	1.8460	0.87965	1.0217	161.88	13.650	13.916	0.017919	vapor
350.45	0.88698	34.751	0.028776	435.67	461.19	1.8467	0.87991	1.0218	161.97	13.615	13.926	0.017938	vapor
350.69	0.88698	34.716	0.028805	435.89	461.44	1.8474	0.88017	1.0218	162.07	13.579	13.936	0.017956	vapor
350.93	0.88698	34.680	0.028835	436.11	461.69	1.8481	0.88044	1.0218	162.16	13.544	13.946	0.017975	vapor
351.18	0.88698	34.645	0.028865	436.33	461.93	1.8488	0.88070	1.0219	162.25	13.509	13.956	0.017993	vapor
351.42	0.88698	34.609	0.028894	436.55	462.18	1.8495	0.88097	1.0219	162.35	13.474	13.966	0.018012	vapor
351.66	0.88698	34.574	0.028924	436.78	462.43	1.8502	0.88123	1.0220	162.44	13.440	13.976	0.018031	vapor
