Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
294.67	5.9368	756.40	0.0013220	253.35	261.20	1.2049	1.0234	4.6853	319.87	1.6785	64.045	0.083610	0.0010123	206.82	0.0048352	375.73	404.44	1.6910	1.0997	5.2521	194.25	10.536	18.308	0.038052
294.76	5.9483	755.44	0.0013237	253.62	261.49	1.2059	1.0242	4.7120	318.87	1.6893	63.894	0.083525	0.0010012	207.54	0.0048182	375.58	404.24	1.6902	1.1013	5.2962	194.15	10.517	18.336	0.038217
294.84	5.9597	754.47	0.0013254	253.89	261.79	1.2069	1.0249	4.7392	317.87	1.7002	63.743	0.083440	0.00099019	208.28	0.0048013	375.42	404.04	1.6893	1.1029	5.3411	194.04	10.497	18.363	0.038383
294.92	5.9711	753.50	0.0013271	254.17	262.09	1.2078	1.0257	4.7668	316.88	1.7111	63.592	0.083356	0.00097920	209.01	0.0047845	375.27	403.84	1.6884	1.1045	5.3868	193.94	10.478	18.391	0.038550
295.00	5.9826	752.53	0.0013289	254.44	262.39	1.2088	1.0265	4.7949	315.88	1.7222	63.441	0.083272	0.00096825	209.75	0.0047676	375.11	403.63	1.6876	1.1061	5.4332	193.83	10.459	18.419	0.038720
295.08	5.9940	751.55	0.0013306	254.71	262.69	1.2097	1.0273	4.8234	314.87	1.7334	63.290	0.083189	0.00095735	210.49	0.0047508	374.95	403.43	1.6867	1.1077	5.4804	193.72	10.439	18.447	0.038891
295.17	6.0054	750.57	0.0013323	254.99	262.99	1.2107	1.0281	4.8524	313.87	1.7446	63.139	0.083107	0.00094649	211.24	0.0047340	374.79	403.22	1.6858	1.1094	5.5285	193.62	10.419	18.475	0.039064
295.25	6.0169	749.58	0.0013341	255.26	263.29	1.2117	1.0289	4.8820	312.86	1.7560	62.988	0.083026	0.00093567	211.99	0.0047173	374.63	403.02	1.6849	1.1110	5.5774	193.51	10.400	18.504	0.039239
295.33	6.0283	748.59	0.0013358	255.54	263.59	1.2126	1.0297	4.9120	311.86	1.7674	62.836	0.082945	0.00092489	212.74	0.0047005	374.47	402.81	1.6840	1.1127	5.6271	193.40	10.380	18.532	0.039416
295.41	6.0397	747.60	0.0013376	255.81	263.89	1.2136	1.0306	4.9425	310.84	1.7790	62.685	0.082865	0.00091415	213.50	0.0046838	374.31	402.60	1.6831	1.1144	5.6777	193.29	10.360	18.561	0.039595
295.49	6.0512	746.61	0.0013394	256.09	264.20	1.2146	1.0314	4.9736	309.83	1.7907	62.533	0.082786	0.00090346	214.26	0.0046671	374.15	402.39	1.6823	1.1161	5.7293	193.18	10.340	18.590	0.039775
295.57	6.0626	745.61	0.0013412	256.37	264.50	1.2156	1.0323	5.0052	308.82	1.8025	62.381	0.082708	0.00089281	215.03	0.0046505	373.98	402.18	1.6814	1.1178	5.7817	193.07	10.320	18.620	0.039958
295.66	6.0740	744.60	0.0013430	256.64	264.80	1.2165	1.0332	5.0374	307.80	1.8144	62.229	0.082631	0.00088220	215.80	0.0046339	373.82	401.96	1.6805	1.1195	5.8352	192.96	10.300	18.649	0.040142
295.74	6.0855	743.59	0.0013448	256.92	265.11	1.2175	1.0341	5.0702	306.78	1.8264	62.077	0.082554	0.00087163	216.58	0.0046173	373.65	401.75	1.6795	1.1212	5.8896	192.85	10.280	18.679	0.040329
295.82	6.0969	742.58	0.0013467	257.20	265.41	1.2185	1.0350	5.1036	305.76	1.8385	61.924	0.082479	0.00086110	217.36	0.0046007	373.48	401.53	1.6786	1.1230	5.9450	192.74	10.260	18.709	0.040518
295.90	6.1083	741.57	0.0013485	257.48	265.72	1.2195	1.0359	5.1376	304.73	1.8507	61.772	0.082404	0.00085062	218.14	0.0045842	373.31	401.32	1.6777	1.1247	6.0014	192.63	10.240	18.739	0.040709
295.98	6.1198	740.55	0.0013504	257.76	266.02	1.2205	1.0369	5.1722	303.70	1.8630	61.619	0.082330	0.00084018	218.93	0.0045676	373.14	401.10	1.6768	1.1265	6.0589	192.52	10.219	18.770	0.040902
296.06	6.1312	739.52	0.0013522	258.04	266.33	1.2214	1.0378	5.2074	302.67	1.8755	61.466	0.082258	0.00082978	219.72	0.0045512	372.97	400.88	1.6759	1.1283	6.1175	192.40	10.199	18.800	0.041097
296.14	6.1426	738.49	0.0013541	258.32	266.64	1.2224	1.0388	5.2434	301.64	1.8881	61.313	0.082186	0.00081942	220.52	0.0045347	372.80	400.65	1.6750	1.1301	6.1772	192.29	10.178	18.831	0.041295
296.22	6.1540	737.46	0.0013560	258.60	266.95	1.2234	1.0398	5.2800	300.60	1.9008	61.160	0.082115	0.00080911	221.33	0.0045182	372.63	400.43	1.6740	1.1319	6.2381	192.17	10.158	18.862	0.041494
296.30	6.1655	736.42	0.0013579	258.88	267.26	1.2244	1.0408	5.3174	299.57	1.9136	61.006	0.082046	0.00079884	222.13	0.0045018	372.45	400.21	1.6731	1.1337	6.3002	192.06	10.137	18.894	0.041697
296.38	6.1769	735.38	0.0013598	259.17	267.57	1.2254	1.0418	5.3554	298.53	1.9266	60.853	0.081977	0.00078861	222.95	0.0044854	372.27	399.98	1.6722	1.1356	6.3635	191.94	10.116	18.926	0.041901
296.46	6.1883	734.33	0.0013618	259.45	267.88	1.2264	1.0429	5.3943	297.48	1.9397	60.699	0.081909	0.00077842	223.76	0.0044690	372.10	399.75	1.6712	1.1374	6.4281	191.83	10.095	18.957	0.042109
296.54	6.1998	733.28	0.0013637	259.73	268.19	1.2274	1.0439	5.4339	296.43	1.9529	60.544	0.081843	0.00076828	224.59	0.0044526	371.92	399.52	1.6703	1.1393	6.4939	191.71	10.074	18.990	0.042318
296.62	6.2112	732.22	0.0013657	260.02	268.50	1.2284	1.0450	5.4743	295.39	1.9662	60.390	0.081778	0.00075817	225.42	0.0044363	371.74	399.29	1.6693	1.1412	6.5611	191.59	10.053	19.022	0.042530
296.70	6.2226	731.16	0.0013677	260.30	268.81	1.2294	1.0461	5.5155	294.33	1.9797	60.235	0.081714	0.00074811	226.25	0.0044199	371.56	399.06	1.6684	1.1431	6.6297	191.47	10.032	19.055	0.042745
296.78	6.2341	730.10	0.0013697	260.59	269.13	1.2304	1.0472	5.5576	293.28	1.9933	60.080	0.081651	0.00073810	227.09	0.0044036	371.37	398.83	1.6674	1.1450	6.6997	191.35	10.011	19.088	0.042963
296.86	6.2455	729.02	0.0013717	260.88	269.44	1.2314	1.0484	5.6006	292.22	2.0071	59.925	0.081590	0.00072812	227.93	0.0043873	371.19	398.59	1.6665	1.1470	6.7712	191.23	9.9895	19.121	0.043183
296.94	6.2569	727.95	0.0013737	261.16	269.76	1.2324	1.0495	5.6445	291.16	2.0210	59.769	0.081530	0.00071819	228.78	0.0043710	371.00	398.35	1.6655	1.1489	6.8442	191.11	9.9681	19.155	0.043406
297.02	6.2684	726.87	0.0013758	261.45	270.08	1.2334	1.0507	5.6893	290.09	2.0350	59.614	0.081471	0.00070830	229.64	0.0043547	370.82	398.11	1.6645	1.1509	6.9188	190.99	9.9466	19.189	0.043632
297.10	6.2798	725.78	0.0013778	261.74	270.39	1.2344	1.0519	5.7351	289.02	2.0492	59.458	0.081414	0.00069846	230.50	0.0043385	370.63	397.87	1.6635	1.1529	6.9949	190.87	9.9250	19.223	0.043861
