Temperature (K),Pressure (MPa),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/kg)","Enthalpy (l, kJ/kg)","Entropy (l, J/g*K)","Cv (l, J/g*K)","Cp (l, J/g*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/MPa)","Viscosity (l, uPa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/kg)","Enthalpy (v, kJ/kg)","Entropy (v, J/g*K)","Cv (v, J/g*K)","Cp (v, J/g*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/MPa)","Viscosity (v, uPa*s)","Therm. Cond. (v, W/m*K)"
241.24,0.077,1394.1,0.00071733,158.31,158.36,0.83862,0.84163,1.2693,769.18,-0.27535,412.45,0.10667,0.016063,4.0611,0.24624,360.16,379.12,1.7537,0.67315,0.77457,144.91,50.163,9.5664,0.0088341
241.51,0.078,1393.3,0.00071774,158.65,158.7,0.84003,0.84193,1.2698,767.93,-0.27469,410.81,0.10655,0.016023,4.1106,0.24327,360.31,379.29,1.7534,0.67384,0.77544,144.95,49.959,9.5762,0.008856
241.77,0.079,1392.5,0.00071814,158.98,159.04,0.84141,0.84222,1.2703,766.7,-0.27403,409.2,0.10642,0.015984,4.1601,0.24038,360.46,379.45,1.7531,0.67453,0.77631,144.99,49.759,9.5858,0.0088776
242.03,0.08,1391.7,0.00071854,159.31,159.37,0.84279,0.84251,1.2708,765.47,-0.27338,407.62,0.1063,0.015945,4.2096,0.23755,360.61,379.62,1.7528,0.67521,0.77717,145.02,49.562,9.5954,0.0088991
242.29,0.081,1390.9,0.00071894,159.64,159.7,0.84414,0.8428,1.2712,764.26,-0.27273,406.06,0.10617,0.015906,4.2591,0.23479,360.76,379.78,1.7525,0.67588,0.77802,145.06,49.368,9.6048,0.0089203
242.55,0.082,1390.2,0.00071933,159.97,160.03,0.84549,0.84308,1.2717,763.07,-0.27208,404.52,0.10605,0.015867,4.3085,0.2321,360.91,379.94,1.7522,0.67654,0.77887,145.1,49.178,9.6142,0.0089413
242.8,0.083,1389.4,0.00071972,160.29,160.35,0.84682,0.84337,1.2722,761.88,-0.27144,403,0.10593,0.01583,4.3579,0.22947,361.05,380.1,1.7519,0.6772,0.77972,145.13,48.99,9.6235,0.0089622
243.06,0.084,1388.7,0.00072011,160.61,160.67,0.84813,0.84365,1.2727,760.71,-0.2708,401.51,0.10581,0.015792,4.4072,0.2269,361.2,380.26,1.7516,0.67786,0.78055,145.16,48.805,9.6327,0.0089828
243.3,0.085,1387.9,0.00072049,160.93,160.99,0.84943,0.84392,1.2732,759.54,-0.27016,400.04,0.10569,0.015755,4.4566,0.22439,361.34,380.42,1.7513,0.6785,0.78138,145.2,48.624,9.6417,0.0090033
243.55,0.086,1387.2,0.00072087,161.24,161.3,0.85072,0.8442,1.2736,758.39,-0.26953,398.59,0.10557,0.015718,4.5059,0.22193,361.48,380.57,1.751,0.67915,0.78221,145.23,48.445,9.6508,0.0090235
243.8,0.087,1386.5,0.00072125,161.55,161.62,0.852,0.84447,1.2741,757.25,-0.2689,397.16,0.10546,0.015681,4.5551,0.21953,361.62,380.72,1.7507,0.67978,0.78302,145.26,48.269,9.6597,0.0090436
244.04,0.088,1385.8,0.00072163,161.86,161.93,0.85327,0.84474,1.2746,756.12,-0.26827,395.75,0.10534,0.015645,4.6044,0.21718,361.76,380.88,1.7505,0.68042,0.78384,145.29,48.095,9.6685,0.0090635
244.28,0.089,1385,0.000722,162.17,162.23,0.85452,0.84501,1.2751,755,-0.26765,394.37,0.10523,0.015609,4.6536,0.21489,361.9,381.03,1.7502,0.68104,0.78465,145.32,47.925,9.6773,0.0090833
244.52,0.09,1384.3,0.00072237,162.47,162.54,0.85576,0.84528,1.2755,753.89,-0.26703,393,0.10511,0.015574,4.7028,0.21264,362.04,381.18,1.7499,0.68167,0.78545,145.35,47.756,9.6859,0.0091028
244.75,0.091,1383.6,0.00072274,162.77,162.84,0.85699,0.84554,1.276,752.79,-0.26641,391.65,0.105,0.015539,4.7519,0.21044,362.17,381.32,1.7497,0.68228,0.78624,145.38,47.59,9.6945,0.0091222
244.99,0.092,1382.9,0.0007231,163.07,163.14,0.85821,0.84581,1.2764,751.7,-0.2658,390.32,0.10489,0.015504,4.8011,0.20829,362.31,381.47,1.7494,0.6829,0.78704,145.41,47.427,9.7031,0.0091415
245.22,0.093,1382.2,0.00072346,163.36,163.43,0.85941,0.84607,1.2769,750.62,-0.26519,389,0.10478,0.015469,4.8502,0.20618,362.44,381.62,1.7492,0.68351,0.78782,145.44,47.266,9.7115,0.0091606
245.45,0.094,1381.6,0.00072382,163.66,163.73,0.86061,0.84632,1.2773,749.55,-0.26458,387.7,0.10467,0.015435,4.8993,0.20411,362.57,381.76,1.7489,0.68411,0.7886,145.47,47.107,9.7199,0.0091795
245.68,0.095,1380.9,0.00072418,163.95,164.02,0.86179,0.84658,1.2778,748.48,-0.26397,386.42,0.10457,0.015401,4.9483,0.20209,362.7,381.9,1.7487,0.68471,0.78938,145.5,46.95,9.7282,0.0091982
245.9,0.096,1380.2,0.00072453,164.24,164.31,0.86297,0.84684,1.2782,747.43,-0.26337,385.16,0.10446,0.015368,4.9974,0.20011,362.83,382.04,1.7484,0.6853,0.79015,145.53,46.796,9.7364,0.0092169
246.13,0.097,1379.5,0.00072489,164.52,164.59,0.86413,0.84709,1.2787,746.39,-0.26277,383.91,0.10435,0.015334,5.0464,0.19816,362.96,382.19,1.7482,0.68589,0.79092,145.55,46.643,9.7446,0.0092353
246.35,0.098,1378.9,0.00072524,164.81,164.88,0.86528,0.84734,1.2791,745.35,-0.26217,382.68,0.10425,0.015301,5.0954,0.19626,363.09,382.32,1.748,0.68648,0.79168,145.58,46.493,9.7527,0.0092537
246.57,0.099,1378.2,0.00072559,165.09,165.16,0.86643,0.84759,1.2795,744.32,-0.26158,381.47,0.10414,0.015269,5.1443,0.19439,363.22,382.46,1.7477,0.68706,0.79244,145.61,46.345,9.7607,0.0092718
246.79,0.1,1377.5,0.00072593,165.37,165.44,0.86756,0.84784,1.28,743.31,-0.26099,380.27,0.10404,0.015236,5.1933,0.19256,363.34,382.6,1.7475,0.68764,0.79319,145.63,46.198,9.7687,0.0092899
247.01,0.101,1376.9,0.00072628,165.65,165.72,0.86869,0.84808,1.2804,742.3,-0.2604,379.08,0.10394,0.015204,5.2422,0.19076,363.47,382.73,1.7473,0.68821,0.79394,145.66,46.054,9.7766,0.0093078
247.22,0.102,1376.2,0.00072662,165.92,166,0.8698,0.84833,1.2808,741.29,-0.25981,377.91,0.10384,0.015172,5.2911,0.189,363.59,382.87,1.747,0.68878,0.79469,145.68,45.911,9.7844,0.0093255
247.44,0.103,1375.6,0.00072696,166.2,166.27,0.87091,0.84857,1.2813,740.3,-0.25923,376.75,0.10374,0.01514,5.3399,0.18727,363.71,383,1.7468,0.68935,0.79543,145.71,45.771,9.7922,0.0093432
247.65,0.104,1375,0.00072729,166.47,166.54,0.872,0.84881,1.2817,739.31,-0.25864,375.61,0.10364,0.015109,5.3888,0.18557,363.84,383.14,1.7466,0.68991,0.79616,145.73,45.632,9.7999,0.0093607
247.86,0.105,1374.3,0.00072763,166.74,166.81,0.87309,0.84905,1.2821,738.33,-0.25806,374.48,0.10354,0.015078,5.4376,0.1839,363.96,383.27,1.7464,0.69046,0.7969,145.75,45.495,9.8075,0.009378
248.07,0.106,1373.7,0.00072796,167,167.08,0.87417,0.84928,1.2825,737.36,-0.25749,373.36,0.10344,0.015047,5.4864,0.18227,364.08,383.4,1.7462,0.69102,0.79762,145.78,45.359,9.8151,0.0093953
