Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
255.93	0.14947	1349.7	0.00074090	177.14	177.25	0.91439	0.85835	1.2991	700.91	-0.23414	334.50	0.099784	0.013891	7.5918	0.13172	368.58	388.27	1.7389	0.71221	0.82614	146.50	40.711	10.100	0.010048
256.14	0.15077	1349.1	0.00074125	177.41	177.52	0.91544	0.85859	1.2995	699.96	-0.23349	333.56	0.099689	0.013861	7.6544	0.13064	368.70	388.40	1.7387	0.71278	0.82692	146.52	40.600	10.108	0.010066
256.34	0.15208	1348.4	0.00074160	177.67	177.78	0.91647	0.85883	1.3000	699.01	-0.23283	332.63	0.099595	0.013831	7.7170	0.12958	368.82	388.52	1.7386	0.71334	0.82769	146.53	40.490	10.115	0.010083
256.55	0.15338	1347.8	0.00074195	177.93	178.05	0.91750	0.85906	1.3004	698.07	-0.23218	331.71	0.099502	0.013802	7.7796	0.12854	368.93	388.65	1.7384	0.71389	0.82846	146.54	40.382	10.123	0.010100
256.75	0.15468	1347.2	0.00074229	178.20	178.31	0.91852	0.85930	1.3009	697.14	-0.23153	330.80	0.099409	0.013772	7.8421	0.12752	369.05	388.77	1.7382	0.71445	0.82922	146.56	40.275	10.130	0.010117
256.95	0.15598	1346.6	0.00074263	178.46	178.57	0.91953	0.85953	1.3013	696.22	-0.23088	329.89	0.099317	0.013743	7.9046	0.12651	369.16	388.89	1.7381	0.71500	0.82999	146.57	40.169	10.137	0.010133
257.15	0.15728	1345.9	0.00074297	178.72	178.83	0.92054	0.85977	1.3017	695.30	-0.23024	329.00	0.099225	0.013714	7.9671	0.12552	369.27	389.02	1.7379	0.71554	0.83075	146.58	40.064	10.144	0.010150
257.35	0.15858	1345.3	0.00074331	178.97	179.09	0.92154	0.86000	1.3022	694.38	-0.22959	328.12	0.099135	0.013685	8.0296	0.12454	369.39	389.14	1.7377	0.71609	0.83150	146.60	39.960	10.151	0.010167
257.54	0.15988	1344.7	0.00074365	179.23	179.35	0.92253	0.86023	1.3026	693.47	-0.22895	327.24	0.099044	0.013657	8.0921	0.12358	369.50	389.26	1.7376	0.71663	0.83225	146.61	39.858	10.159	0.010183
257.74	0.16118	1344.1	0.00074399	179.48	179.60	0.92352	0.86046	1.3031	692.57	-0.22831	326.38	0.098955	0.013628	8.1545	0.12263	369.61	389.38	1.7374	0.71717	0.83300	146.62	39.756	10.166	0.010200
257.93	0.16248	1343.5	0.00074432	179.73	179.86	0.92450	0.86069	1.3035	691.68	-0.22767	325.52	0.098866	0.013600	8.2170	0.12170	369.72	389.50	1.7373	0.71770	0.83375	146.64	39.656	10.173	0.010216
258.13	0.16378	1342.9	0.00074465	179.99	180.11	0.92547	0.86092	1.3039	690.78	-0.22703	324.67	0.098778	0.013572	8.2794	0.12078	369.83	389.61	1.7371	0.71823	0.83449	146.65	39.556	10.180	0.010232
258.32	0.16508	1342.3	0.00074499	180.23	180.36	0.92644	0.86114	1.3044	689.90	-0.22640	323.83	0.098690	0.013544	8.3418	0.11988	369.94	389.73	1.7370	0.71876	0.83523	146.66	39.458	10.187	0.010248
258.51	0.16638	1341.7	0.00074531	180.48	180.61	0.92740	0.86137	1.3048	689.02	-0.22576	322.99	0.098603	0.013517	8.4042	0.11899	370.05	389.85	1.7368	0.71929	0.83597	146.67	39.361	10.194	0.010264
258.70	0.16768	1341.1	0.00074564	180.73	180.85	0.92835	0.86159	1.3052	688.15	-0.22513	322.17	0.098516	0.013489	8.4666	0.11811	370.16	389.96	1.7367	0.71981	0.83670	146.68	39.264	10.200	0.010280
258.89	0.16898	1340.5	0.00074597	180.97	181.10	0.92930	0.86181	1.3056	687.28	-0.22450	321.35	0.098430	0.013462	8.5290	0.11725	370.26	390.08	1.7365	0.72033	0.83743	146.69	39.169	10.207	0.010296
259.07	0.17029	1340.0	0.00074630	181.22	181.35	0.93024	0.86203	1.3061	686.41	-0.22387	320.54	0.098344	0.013435	8.5913	0.11640	370.37	390.19	1.7364	0.72085	0.83816	146.70	39.075	10.214	0.010312
