Temperature,Pressure,Density,Volume,Internal Energy,Enthalpy,Entropy,Cv,Cp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cp (v, J/g*K),Sound Spd. (v, m/s),Joule-Thomson (v, K/MPa),Viscosity (v, uPa*s),Therm. Cond. (v, W/m*K)
243.25,1.4325,1075.3,0.00092996,132.21,133.54,0.75065,0.94215,2.0738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.49,1.444,1074.3,0.00093083,132.69,134.04,0.75263,0.94193,2.0756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.72,1.4554,1073.3,0.0009317,133.17,134.52,0.7546,0.94171,2.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.96,1.4668,1072.3,0.00093256,133.64,135.01,0.75655,0.94149,2.0792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.19,1.4783,1071.3,0.00093342,134.12,135.5,0.75849,0.94127,2.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.42,1.4897,1070.3,0.00093428,134.59,135.98,0.76042,0.94106,2.0828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.65,1.5011,1069.4,0.00093514,135.05,136.46,0.76234,0.94085,2.0846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.88,1.5126,1068.4,0.000936,135.52,136.94,0.76425,0.94064,2.0864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.11,1.524,1067.4,0.00093686,135.98,137.41,0.76615,0.94044,2.0883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.34,1.5354,1066.4,0.00093771,136.44,137.88,0.76803,0.94024,2.0901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.56,1.5469,1065.5,0.00093857,136.9,138.36,0.76991,0.94004,2.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.78,1.5583,1064.5,0.00093942,137.36,138.82,0.77177,0.93984,2.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.01,1.5697,1063.5,0.00094027,137.81,139.29,0.77362,0.93964,2.0957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.23,1.5811,1062.6,0.00094112,138.27,139.76,0.77547,0.93945,2.0975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.45,1.5926,1061.6,0.00094196,138.72,140.22,0.7773,0.93926,2.0994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.67,1.604,1060.7,0.00094281,139.17,140.68,0.77912,0.93908,2.1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.89,1.6154,1059.7,0.00094365,139.61,141.14,0.78094,0.93889,2.1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.1,1.6269,1058.8,0.0009445,140.06,141.59,0.78274,0.93871,2.1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.32,1.6383,1057.8,0.00094534,140.5,142.05,0.78453,0.93853,2.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.54,1.6497,1056.9,0.00094618,140.94,142.5,0.78632,0.93835,2.1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.75,1.6612,1055.9,0.00094702,141.38,142.95,0.78809,0.93818,2.1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.96,1.6726,1055,0.00094786,141.81,143.4,0.78986,0.938,2.1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.17,1.684,1054.1,0.0009487,142.25,143.84,0.79161,0.93783,2.1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.38,1.6955,1053.1,0.00094953,142.68,144.29,0.79336,0.93767,2.1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.59,1.7069,1052.2,0.00095037,143.11,144.73,0.7951,0.9375,2.1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.8,1.7183,1051.3,0.0009512,143.54,145.17,0.79683,0.93734,2.1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.01,1.7298,1050.4,0.00095203,143.96,145.61,0.79855,0.93718,2.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.22,1.7412,1049.5,0.00095287,144.39,146.05,0.80026,0.93702,2.1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.42,1.7526,1048.6,0.0009537,144.81,146.48,0.80196,0.93686,2.1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.63,1.7641,1047.6,0.00095453,145.23,146.92,0.80366,0.93671,2.1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.83,1.7755,1046.7,0.00095536,145.65,147.35,0.80535,0.93656,2.1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.03,1.7869,1045.8,0.00095618,146.07,147.78,0.80703,0.93641,2.1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.24,1.7984,1044.9,0.00095701,146.49,148.21,0.8087,0.93626,2.1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.44,1.8098,1044,0.00095784,146.9,148.64,0.81036,0.93612,2.1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.64,1.8212,1043.1,0.00095866,147.32,149.06,0.81202,0.93598,2.1384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.83,1.8327,1042.2,0.00095949,147.73,149.49,0.81366,0.93584,2.1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.03,1.8441,1041.3,0.00096031,148.14,149.91,0.8153,0.9357,2.1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.23,1.8555,1040.4,0.00096114,148.55,150.33,0.81693,0.93557,2.1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.43,1.867,1039.5,0.00096196,148.95,150.75,0.81856,0.93544,2.1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.62,1.8784,1038.7,0.00096278,149.36,151.17,0.82018,0.93531,2.1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.82,1.8898,1037.8,0.0009636,149.76,151.58,0.82179,0.93518,2.1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.01,1.9013,1036.9,0.00096442,150.16,152,0.82339,0.93506,2.1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.2,1.9127,1036,0.00096524,150.57,152.41,0.82498,0.93494,2.1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.39,1.9241,1035.1,0.00096606,150.96,152.82,0.82657,0.93482,2.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.59,1.9355,1034.3,0.00096688,151.36,153.23,0.82815,0.9347,2.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.78,1.947,1033.4,0.00096769,151.76,153.64,0.82973,0.93458,2.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.96,1.9584,1032.5,0.00096851,152.15,154.05,0.8313,0.93447,2.1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.15,1.9698,1031.6,0.00096933,152.55,154.46,0.83286,0.93436,2.1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.34,1.9813,1030.8,0.00097014,152.94,154.86,0.83441,0.93426,2.1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.53,1.9927,1029.9,0.00097096,153.33,155.26,0.83596,0.93415,2.1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.71,2.0041,1029,0.00097177,153.72,155.67,0.8375,0.93405,2.1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.9,2.0156,1028.2,0.00097259,154.11,156.07,0.83903,0.93395,2.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.08,2.027,1027.3,0.0009734,154.49,156.47,0.84056,0.93386,2.1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.27,2.0384,1026.5,0.00097421,154.88,156.86,0.84209,0.93376,2.1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.45,2.0499,1025.6,0.00097503,155.26,157.26,0.8436,0.93367,2.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.63,2.0613,1024.8,0.00097584,155.64,157.66,0.84511,0.93358,2.1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.82,2.0727,1023.9,0.00097665,156.03,158.05,0.84661,0.9335,2.1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2.0842,1023.1,0.00097746,156.41,158.44,0.84811,0.93342,2.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.18,2.0956,1022.2,0.00097827,156.78,158.83,0.8496,0.93334,2.1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.36,2.107,1021.4,0.00097909,157.16,159.23,0.85109,0.93326,2.1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.54,2.1185,1020.5,0.0009799,157.54,159.61,0.85257,0.93318,2.1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.71,2.1299,1019.7,0.00098071,157.91,160,0.85404,0.93311,2.1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.89,2.1413,1018.8,0.00098152,158.29,160.39,0.85551,0.93304,2.1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.07,2.1528,1018,0.00098233,158.66,160.77,0.85697,0.93298,2.2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.24,2.1642,1017.2,0.00098313,159.03,161.16,0.85843,0.93291,2.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.42,2.1756,1016.3,0.00098394,159.4,161.54,0.85988,0.93285,2.2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.59,2.1871,1015.5,0.00098475,159.77,161.92,0.86133,0.9328,2.2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.77,2.1985,1014.7,0.00098556,160.14,162.31,0.86277,0.93274,2.2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.94,2.2099,1013.8,0.00098637,160.51,162.69,0.8642,0.93269,2.2118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.11,2.2214,1013,0.00098718,160.87,163.06,0.86563,0.93264,2.2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
