Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
294.85	5.9613	754.33	0.0013257	253.93	261.83	1.2070	1.0250	4.7431	317.73	1.7017	63.722	0.083428	0.00098864	208.38	0.0047990	375.40	404.01	1.6892	1.1031	5.3475	194.03	10.495	18.367	0.038406
294.94	5.9741	753.25	0.0013276	254.24	262.17	1.2081	1.0259	4.7740	316.62	1.7140	63.553	0.083334	0.00097638	209.20	0.0047801	375.23	403.78	1.6882	1.1049	5.3987	193.91	10.473	18.398	0.038594
295.03	5.9869	752.16	0.0013295	254.54	262.50	1.2091	1.0268	4.8056	315.50	1.7264	63.385	0.083241	0.00096415	210.03	0.0047613	375.05	403.56	1.6872	1.1067	5.4509	193.79	10.451	18.429	0.038784
295.13	5.9997	751.06	0.0013314	254.85	262.84	1.2102	1.0277	4.8378	314.38	1.7389	63.215	0.083148	0.00095195	210.86	0.0047425	374.87	403.33	1.6862	1.1085	5.5042	193.67	10.429	18.461	0.038977
295.22	6.0125	749.96	0.0013334	255.16	263.18	1.2113	1.0286	4.8706	313.25	1.7516	63.045	0.083057	0.00093979	211.70	0.0047236	374.69	403.09	1.6853	1.1104	5.5586	193.55	10.407	18.493	0.039172
295.31	6.0254	748.85	0.0013354	255.47	263.51	1.2124	1.0295	4.9042	312.11	1.7645	62.875	0.082966	0.00092765	212.55	0.0047048	374.51	402.86	1.6843	1.1123	5.6143	193.43	10.385	18.525	0.039370
295.40	6.0382	747.73	0.0013374	255.78	263.85	1.2135	1.0305	4.9385	310.98	1.7775	62.704	0.082876	0.00091555	213.40	0.0046860	374.33	402.63	1.6833	1.1142	5.6711	193.31	10.363	18.558	0.039571
295.49	6.0511	746.61	0.0013394	256.09	264.19	1.2146	1.0314	4.9735	309.83	1.7907	62.533	0.082787	0.00090348	214.26	0.0046672	374.15	402.39	1.6823	1.1161	5.7292	193.18	10.340	18.590	0.039775
295.58	6.0641	745.48	0.0013414	256.40	264.54	1.2157	1.0324	5.0093	308.69	1.8040	62.362	0.082698	0.00089145	215.13	0.0046484	373.96	402.15	1.6812	1.1180	5.7885	193.06	10.318	18.624	0.039981
295.68	6.0770	744.34	0.0013435	256.72	264.88	1.2168	1.0334	5.0459	307.53	1.8175	62.189	0.082611	0.00087944	216.00	0.0046296	373.77	401.91	1.6802	1.1199	5.8492	192.93	10.295	18.657	0.040191
295.77	6.0900	743.20	0.0013455	257.03	265.23	1.2179	1.0345	5.0833	306.38	1.8311	62.017	0.082524	0.00086747	216.88	0.0046107	373.58	401.66	1.6792	1.1219	5.9113	192.81	10.272	18.691	0.040403
295.86	6.1030	742.04	0.0013476	257.35	265.57	1.2190	1.0355	5.1215	305.21	1.8449	61.843	0.082439	0.00085553	217.77	0.0045919	373.39	401.42	1.6782	1.1239	5.9748	192.68	10.249	18.725	0.040619
295.95	6.1160	740.88	0.0013497	257.67	265.92	1.2201	1.0366	5.1606	304.04	1.8589	61.670	0.082355	0.00084363	218.67	0.0045731	373.20	401.17	1.6771	1.1259	6.0398	192.55	10.226	18.760	0.040838
296.04	6.1290	739.72	0.0013519	257.99	266.27	1.2212	1.0377	5.2007	302.87	1.8731	61.495	0.082272	0.00083176	219.57	0.0045543	373.00	400.92	1.6761	1.1279	6.1062	192.42	10.203	18.794	0.041060
296.14	6.1421	738.54	0.0013540	258.31	266.62	1.2224	1.0388	5.2416	301.69	1.8875	61.321	0.082189	0.00081993	220.48	0.0045355	372.81	400.67	1.6750	1.1300	6.1743	192.29	10.179	18.830	0.041285
296.23	6.1551	737.36	0.0013562	258.63	266.98	1.2235	1.0399	5.2836	300.51	1.9020	61.145	0.082109	0.00080812	221.40	0.0045166	372.61	400.41	1.6739	1.1321	6.2440	192.16	10.156	18.865	0.041514
296.32	6.1682	736.17	0.0013584	258.95	267.33	1.2246	1.0411	5.3265	299.31	1.9167	60.969	0.082029	0.00079636	222.33	0.0044978	372.41	400.15	1.6729	1.1342	6.3154	192.03	10.132	18.901	0.041746
296.41	6.1814	734.97	0.0013606	259.28	267.69	1.2258	1.0422	5.3705	298.12	1.9317	60.793	0.081951	0.00078463	223.27	0.0044790	372.21	399.89	1.6718	1.1363	6.3885	191.90	10.108	18.938	0.041982
296.50	6.1945	733.76	0.0013628	259.60	268.05	1.2269	1.0435	5.4156	296.92	1.9468	60.615	0.081873	0.00077293	224.21	0.0044601	372.00	399.63	1.6707	1.1384	6.4635	191.76	10.084	18.975	0.042222
296.60	6.2077	732.55	0.0013651	259.93	268.40	1.2281	1.0447	5.4618	295.71	1.9621	60.437	0.081798	0.00076127	225.16	0.0044413	371.79	399.36	1.6696	1.1406	6.5404	191.63	10.060	19.012	0.042465
296.69	6.2209	731.32	0.0013674	260.26	268.77	1.2292	1.0459	5.5092	294.49	1.9776	60.259	0.081724	0.00074965	226.12	0.0044224	371.58	399.10	1.6685	1.1428	6.6192	191.49	10.035	19.050	0.042712
