Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
330.19	7.3783	173.52	0.0057631	418.91	461.43	1.8498	0.85396	1.8116	237.70	7.7799	19.299	0.028757	supercritical
330.35	7.3783	173.24	0.0057723	419.12	461.70	1.8506	0.85351	1.8069	237.87	7.7718	19.300	0.028737	supercritical
330.50	7.3783	172.97	0.0057815	419.32	461.98	1.8515	0.85306	1.8023	238.04	7.7636	19.301	0.028717	supercritical
330.65	7.3783	172.69	0.0057906	419.53	462.26	1.8523	0.85262	1.7978	238.21	7.7555	19.302	0.028698	supercritical
330.81	7.3783	172.42	0.0057997	419.74	462.53	1.8531	0.85218	1.7933	238.38	7.7473	19.302	0.028679	supercritical
330.96	7.3783	172.15	0.0058088	419.95	462.81	1.8540	0.85174	1.7888	238.54	7.7392	19.303	0.028660	supercritical
331.11	7.3783	171.88	0.0058179	420.15	463.08	1.8548	0.85131	1.7844	238.71	7.7310	19.304	0.028642	supercritical
331.27	7.3783	171.62	0.0058270	420.36	463.35	1.8556	0.85089	1.7800	238.87	7.7229	19.305	0.028623	supercritical
331.42	7.3783	171.35	0.0058360	420.56	463.62	1.8564	0.85046	1.7757	239.04	7.7147	19.306	0.028606	supercritical
331.57	7.3783	171.09	0.0058450	420.77	463.90	1.8573	0.85005	1.7714	239.20	7.7066	19.307	0.028588	supercritical
331.72	7.3783	170.82	0.0058540	420.97	464.17	1.8581	0.84963	1.7671	239.37	7.6984	19.308	0.028570	supercritical
331.88	7.3783	170.56	0.0058630	421.18	464.44	1.8589	0.84922	1.7629	239.53	7.6903	19.309	0.028553	supercritical
332.03	7.3783	170.30	0.0058719	421.38	464.71	1.8597	0.84881	1.7588	239.70	7.6822	19.311	0.028536	supercritical
332.18	7.3783	170.04	0.0058809	421.58	464.98	1.8605	0.84841	1.7547	239.86	7.6740	19.312	0.028520	supercritical
332.34	7.3783	169.79	0.0058898	421.79	465.24	1.8613	0.84801	1.7506	240.02	7.6659	19.313	0.028503	supercritical
332.49	7.3783	169.53	0.0058986	421.99	465.51	1.8621	0.84762	1.7466	240.18	7.6578	19.314	0.028487	supercritical
332.64	7.3783	169.28	0.0059075	422.19	465.78	1.8629	0.84722	1.7426	240.34	7.6497	19.316	0.028471	supercritical
332.80	7.3783	169.02	0.0059164	422.39	466.04	1.8637	0.84683	1.7386	240.51	7.6415	19.317	0.028455	supercritical
332.95	7.3783	168.77	0.0059252	422.59	466.31	1.8645	0.84645	1.7347	240.67	7.6334	19.319	0.028440	supercritical
333.10	7.3783	168.52	0.0059340	422.79	466.58	1.8653	0.84607	1.7308	240.83	7.6253	19.320	0.028424	supercritical
333.26	7.3783	168.27	0.0059428	422.99	466.84	1.8661	0.84569	1.7270	240.99	7.6172	19.322	0.028409	supercritical
333.41	7.3783	168.02	0.0059515	423.19	467.10	1.8669	0.84532	1.7232	241.15	7.6091	19.323	0.028394	supercritical
333.56	7.3783	167.78	0.0059603	423.39	467.37	1.8677	0.84495	1.7194	241.30	7.6010	19.325	0.028380	supercritical
333.71	7.3783	167.53	0.0059690	423.59	467.63	1.8685	0.84458	1.7156	241.46	7.5930	19.326	0.028365	supercritical
333.87	7.3783	167.29	0.0059777	423.79	467.89	1.8693	0.84421	1.7119	241.62	7.5849	19.328	0.028351	supercritical
334.02	7.3783	167.05	0.0059864	423.99	468.16	1.8701	0.84385	1.7083	241.78	7.5768	19.330	0.028337	supercritical
334.17	7.3783	166.80	0.0059950	424.18	468.42	1.8708	0.84350	1.7046	241.94	7.5687	19.332	0.028323	supercritical
334.33	7.3783	166.56	0.0060037	424.38	468.68	1.8716	0.84314	1.7010	242.09	7.5607	19.333	0.028309	supercritical
334.48	7.3783	166.33	0.0060123	424.58	468.94	1.8724	0.84279	1.6975	242.25	7.5526	19.335	0.028296	supercritical
334.63	7.3783	166.09	0.0060209	424.77	469.20	1.8732	0.84244	1.6939	242.40	7.5446	19.337	0.028283	supercritical
334.79	7.3783	165.85	0.0060295	424.97	469.46	1.8739	0.84210	1.6904	242.56	7.5365	19.339	0.028270	supercritical
334.94	7.3783	165.62	0.0060381	425.16	469.71	1.8747	0.84175	1.6870	242.72	7.5285	19.341	0.028257	supercritical
335.09	7.3783	165.38	0.0060467	425.36	469.97	1.8755	0.84142	1.6835	242.87	7.5204	19.343	0.028244	supercritical
335.25	7.3783	165.15	0.0060552	425.55	470.23	1.8763	0.84108	1.6801	243.02	7.5124	19.345	0.028232	supercritical
335.40	7.3783	164.92	0.0060637	425.75	470.49	1.8770	0.84075	1.6768	243.18	7.5044	19.347	0.028220	supercritical
335.55	7.3783	164.68	0.0060722	425.94	470.74	1.8778	0.84042	1.6734	243.33	7.4964	19.349	0.028208	supercritical
335.70	7.3783	164.45	0.0060807	426.13	471.00	1.8785	0.84009	1.6701	243.48	7.4883	19.351	0.028196	supercritical
335.86	7.3783	164.23	0.0060892	426.33	471.25	1.8793	0.83977	1.6668	243.64	7.4803	19.353	0.028184	supercritical
