Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
232.07	0.96499	1120.7	0.00089232	109.86	110.72	0.65640	0.95417	2.0064	864.15	-0.075960	196.12	0.15806	0.012924	25.110	0.039824	396.66	435.09	2.0541	0.67697	1.0234	223.53	21.774	11.686	0.012634
232.10	0.96638	1120.5	0.00089244	109.93	110.80	0.65673	0.95412	2.0066	863.87	-0.075748	196.00	0.15801	0.012915	25.146	0.039768	396.66	435.10	2.0539	0.67710	1.0237	223.53	21.765	11.688	0.012638
232.14	0.96776	1120.4	0.00089256	110.01	110.87	0.65706	0.95408	2.0067	863.60	-0.075535	195.88	0.15797	0.012907	25.181	0.039712	396.67	435.10	2.0537	0.67723	1.0241	223.53	21.756	11.690	0.012643
232.18	0.96914	1120.2	0.00089268	110.09	110.95	0.65739	0.95403	2.0069	863.32	-0.075323	195.75	0.15792	0.012898	25.216	0.039657	396.68	435.11	2.0535	0.67736	1.0244	223.53	21.746	11.692	0.012647
232.22	0.97052	1120.1	0.00089280	110.16	111.03	0.65771	0.95399	2.0071	863.04	-0.075111	195.63	0.15787	0.012890	25.252	0.039601	396.69	435.12	2.0533	0.67749	1.0248	223.53	21.737	11.694	0.012651
232.26	0.97191	1119.9	0.00089292	110.24	111.11	0.65804	0.95394	2.0073	862.76	-0.074899	195.51	0.15783	0.012881	25.287	0.039546	396.69	435.13	2.0531	0.67762	1.0251	223.53	21.728	11.696	0.012655
232.30	0.97329	1119.8	0.00089304	110.31	111.18	0.65837	0.95389	2.0075	862.49	-0.074686	195.39	0.15778	0.012872	25.322	0.039491	396.70	435.14	2.0529	0.67775	1.0255	223.53	21.718	11.698	0.012659
232.33	0.97467	1119.6	0.00089316	110.39	111.26	0.65869	0.95385	2.0077	862.21	-0.074474	195.27	0.15773	0.012864	25.358	0.039436	396.71	435.15	2.0527	0.67788	1.0258	223.53	21.709	11.701	0.012664
232.37	0.97606	1119.5	0.00089328	110.46	111.34	0.65902	0.95380	2.0079	861.93	-0.074262	195.14	0.15769	0.012855	25.393	0.039381	396.72	435.15	2.0525	0.67802	1.0262	223.53	21.700	11.703	0.012668
232.41	0.97744	1119.3	0.00089340	110.54	111.41	0.65934	0.95376	2.0080	861.65	-0.074049	195.02	0.15764	0.012847	25.428	0.039326	396.72	435.16	2.0523	0.67815	1.0265	223.52	21.690	11.705	0.012672
232.45	0.97882	1119.2	0.00089352	110.62	111.49	0.65967	0.95371	2.0082	861.38	-0.073837	194.90	0.15759	0.012838	25.464	0.039271	396.73	435.17	2.0521	0.67828	1.0269	223.52	21.681	11.707	0.012676
232.49	0.98020	1119.0	0.00089364	110.69	111.57	0.65999	0.95367	2.0084	861.10	-0.073624	194.78	0.15755	0.012829	25.499	0.039217	396.74	435.18	2.0520	0.67841	1.0272	223.52	21.672	11.709	0.012680
232.53	0.98159	1118.9	0.00089375	110.77	111.64	0.66032	0.95362	2.0086	860.83	-0.073412	194.66	0.15750	0.012821	25.535	0.039163	396.75	435.19	2.0518	0.67854	1.0275	223.52	21.663	11.711	0.012685
232.56	0.98297	1118.7	0.00089387	110.84	111.72	0.66064	0.95358	2.0088	860.55	-0.073200	194.54	0.15745	0.012812	25.570	0.039108	396.75	435.20	2.0516	0.67867	1.0279	223.52	21.654	11.713	0.012689
232.60	0.98435	1118.6	0.00089399	110.92	111.80	0.66096	0.95353	2.0090	860.28	-0.072987	194.42	0.15741	0.012804	25.605	0.039054	396.76	435.20	2.0514	0.67880	1.0282	223.52	21.644	11.715	0.012693
232.64	0.98574	1118.4	0.00089411	110.99	111.87	0.66129	0.95349	2.0091	860.00	-0.072775	194.30	0.15736	0.012795	25.641	0.039001	396.77	435.21	2.0512	0.67893	1.0286	223.52	21.635	11.717	0.012697
232.68	0.98712	1118.3	0.00089423	111.07	111.95	0.66161	0.95344	2.0093	859.73	-0.072562	194.18	0.15732	0.012787	25.676	0.038947	396.78	435.22	2.0510	0.67906	1.0289	223.51	21.626	11.719	0.012701
232.71	0.98850	1118.1	0.00089435	111.14	112.03	0.66193	0.95340	2.0095	859.45	-0.072349	194.06	0.15727	0.012778	25.711	0.038893	396.78	435.23	2.0508	0.67919	1.0293	223.51	21.617	11.721	0.012706
232.75	0.98988	1118.0	0.00089447	111.22	112.10	0.66226	0.95335	2.0097	859.18	-0.072137	193.94	0.15722	0.012770	25.747	0.038840	396.79	435.24	2.0506	0.67932	1.0296	223.51	21.608	11.723	0.012710
232.79	0.99127	1117.8	0.00089459	111.29	112.18	0.66258	0.95331	2.0099	858.91	-0.071924	193.82	0.15718	0.012761	25.782	0.038787	396.80	435.25	2.0504	0.67944	1.0300	223.51	21.599	11.725	0.012714
232.83	0.99265	1117.7	0.00089470	111.37	112.25	0.66290	0.95327	2.0101	858.63	-0.071712	193.70	0.15713	0.012753	25.818	0.038733	396.80	435.25	2.0502	0.67957	1.0303	223.51	21.590	11.727	0.012718
232.87	0.99403	1117.5	0.00089482	111.44	112.33	0.66322	0.95322	2.0103	858.36	-0.071499	193.58	0.15709	0.012744	25.853	0.038680	396.81	435.26	2.0500	0.67970	1.0307	223.51	21.581	11.729	0.012722
232.90	0.99542	1117.4	0.00089494	111.52	112.41	0.66354	0.95318	2.0104	858.09	-0.071286	193.47	0.15704	0.012736	25.888	0.038627	396.82	435.27	2.0498	0.67983	1.0310	223.51	21.572	11.731	0.012727
232.94	0.99680	1117.2	0.00089506	111.59	112.48	0.66386	0.95313	2.0106	857.81	-0.071074	193.35	0.15700	0.012728	25.924	0.038575	396.83	435.28	2.0496	0.67996	1.0314	223.50	21.562	11.733	0.012731
232.98	0.99818	1117.1	0.00089518	111.66	112.56	0.66418	0.95309	2.0108	857.54	-0.070861	193.23	0.15695	0.012719	25.959	0.038522	396.83	435.29	2.0494	0.68009	1.0317	223.50	21.553	11.735	0.012735
233.02	0.99956	1117.0	0.00089530	111.74	112.63	0.66450	0.95304	2.0110	857.27	-0.070648	193.11	0.15690	0.012711	25.994	0.038470	396.84	435.29	2.0492	0.68022	1.0320	223.50	21.544	11.737	0.012739
233.05	1.0009	1116.8	0.00089541	111.81	112.71	0.66482	0.95300	2.0112	857.00	-0.070435	192.99	0.15686	0.012702	26.030	0.038417	396.85	435.30	2.0490	0.68035	1.0324	223.50	21.535	11.739	0.012743
